,transaction_description,transaction_category,transaction_value,transaction_score
414,Videogioco da Steam.,Entertainment / Services,5.59,1
415,Ho pranzato da McDonald's.,Food & Drink / Restaurants,12.53,1
416,Ho preso del messicano Dairy Queen usando DoorDash.,Food & Drink / Restaurants,29.9,1
417,Questo è per l'acquisto di tè freddo.,Food & Drink / Other,5.81,2
418,Questo era per un tè boba.,Food & Drink / Other,5.57,2
419,"Non avevo mangiato Chipotle da un po', quindi ho voluto farlo consegnare da DoorDash.",Food & Drink / Restaurants,18.89,1
420,Acquistato tè da Kung Fu Tea.,Food & Drink / Other,24.37,2
421,Ho comprato gelato in una gelateria.,Food & Drink / Other,16.4,2
422,Ho ordinato cibo su UberEats. Credo fosse un ristorante.,Food & Drink / Restaurants,33.93,1
423,Ho preso del caffè in una caffetteria.,Food & Drink / Other,17.19,2
424,Acquisto in-app di skin personaggio.,Entertainment / Services,3.18,0
425,Denaro che ho investito in un IRA sull'app Alto.,Bank Transfers / Savings,10,3
426,Ho pagato per il mio abbonamento a Disney Plus.,Entertainment / Services,8.47,2
427,Questo è per il servizio di streaming HBO Max.,Entertainment / Services,16.5,2
428,Un costo annuale di abbonamento.,Entertainment / Services,54.95,2
429,Ho comprato contenuti in un videogioco free-to-play.,Entertainment / Services,0.99,0
430,Inviato denaro a un amico per un regalo.,Bank Transfers / Transfers,100,2
436,Questo è un pagamento per il mio abbonamento a Netflix.,Entertainment / Services,19.99,2
437,Investiti $100 dollari con Ground Floor per investimenti immobiliari.,Bank Transfers / Savings,100,2
438,Sono stato addebitato per un prelievo accidentale di contanti.,Bank Transfers / Fees,10,3
439,Pagamento app musica Apple music/Spotify.,Entertainment / Services,24.74,2
440,Prelievo ATM da TD Bank.,Bank Transfers / Transfers,120,3
441,Tassa sostenuta a causa di un acquisto internazionale.,Bank Transfers / Fees,0.37,3
442,Inviato denaro a mio fratello per favore.,Bank Transfers / Transfers,23.45,2
443,Inviato denaro a un amico su Cash App.,Bank Transfers / Transfers,18,2
444,Questo è per l'acquisto di un videogioco.,Entertainment / Services,5,1
445,Prelievo di contanti da un ATM bancario.,Bank Transfers / Transfers,240,1
447,Ho ricevuto una commissione NSF per non avere fondi sufficienti sul mio conto.,Bank Transfers / Fees,25,3
449,Commissioni mensili associate al conto.,Bank Transfers / Fees,7,3
451,Tassa sostenuta quando incassando un assegno mobile e necessitando fondi immediatamente.,Bank Transfers / Fees,15,3
455,Tassa per una transazione estera.,Bank Transfers / Fees,0.29,3
456,Commissioni ATM.,Bank Transfers / Fees,5,3
459,Denaro usato per investire in criptovaluta tramite paypal.,Bank Transfers / Savings,254.5,2
462,Commissioni ATM.,Bank Transfers / Fees,3,3
464,Prelievo ATM.,Bank Transfers / Transfers,63.25,3
466,Prelievo ATM.,Bank Transfers / Transfers,30,3
467,Denaro trasferito al conto di mia figlia per conto di qualcun altro come regalo di Natale.,Bank Transfers / Savings,25,2
468,Pagamento debito su Cash App a un amico di denaro che mi aveva prestato.,Bank Transfers / Transfers,10,3
470,Denaro che ho trasferito al mio conto congiunto con mia moglie.,Bank Transfers / Savings,"2,200.00",2
471,Gettoni per gioco mobile tramite Google Play.,Entertainment / Services,5.3,0
473,Denaro speso per acquisto di un videogioco.,Entertainment / Services,4.99,1
474,Tassa ricorrente mensile per abbonamento Spotify.,Entertainment / Services,11.3,2
475,Questa è l'entrata per due persone in un parco acquatico/piscina pubblica.,Entertainment / Activities,26,2
476,Ho trasferito denaro in un altro conto.,Bank Transfers / Savings,"1,101.20",3
477,Pagamento automatico mensile premium Spotify.,Entertainment / Services,10.69,2
478,Questo è stato per il mio abbonamento ad Amazon Prime.,Entertainment / Services,6.59,1
479,Servizio streaming Peacock add on Fee (premium mensile).,Entertainment / Services,5,1
480,Pagamento abbonamento mensile a Netflix.,Entertainment / Services,16.57,1
481,Usato PayPal per pagare Disney+.,Entertainment / Services,8.8,1
482,Acquisto di biglietti per un concerto.,Entertainment / Services,133.16,2
484,Denaro trasferito a un conto di trading azionario per acquistare alcune azioni.,Bank Transfers / Savings,500,2
485,Costo mensile abbonamento Netflix.,Entertainment / Services,9.99,1
486,Trasferimento automatico di fondi a un conto di investimento Stash.,Bank Transfers / Savings,5,2
487,Ho effettuato il mio pagamento mensile per il mio servizio di streaming Peacock.,Entertainment / Services,4.99,1
488,Ho pagato per il mio abbonamento a Netflix.,Entertainment / Services,16.79,2
489,Una visita di famiglia a un centro giochi per bambini.,Entertainment / Activities,28.5,2
492,Questo è per il servizio di streaming Netflix.,Entertainment / Services,19.81,2
493,Denaro speso in una sala da bowling durante un'uscita in famiglia.,Entertainment / Services,19.97,2
494,Ho trasferito fondi in un altro conto corrente.,Bank Transfers / Savings,300,3
495,Pagamento mensile per il mio conto Netflix.,Entertainment / Services,19.99,1
496,Pagamento per servizio di streaming.,Entertainment / Services,11.31,1
497,Addebiti per servizio di streaming.,Entertainment / Services,4.99,1
498,Questo è un abbonamento musicale.,Entertainment / Services,17.31,1
499,Trasferimento elettronico di $10 a TD Ameritrade.,Bank Transfers / Savings,10,3
500,Noleggio di un film del mio genere preferito.,Entertainment / Services,5.34,2
502,Abbonamento Patreon.,Entertainment / Services,3,1
503,Trasferimento tra conti correnti.,Bank Transfers / Savings,35,3
504,Ho comprato un CD ad una bancarella dell'usato.,Entertainment / Services,13.24,0
505,Questo è il mio pagamento mensile per l'abbonamento HBO Max.,Entertainment / Services,14.99,1
506,Un pagamento effettuato mentre ero in un museo per visita.,Entertainment / Activities,9,2
507,Microtransazione per un videogioco tramite Steam.,Entertainment / Services,3.74,1
508,Denaro pagato al sito web della Lotteria Nazionale del Regno Unito per comprare un biglietto.,Entertainment / Activities,5,0
509,Acquisto in-app in un videogioco.,Entertainment / Services,3.18,0
510,Tasse per il servizio di streaming Paramount+.,Entertainment / Services,4.99,1
511,Trasferimento da conto di risparmio a conto corrente.,Bank Transfers / Savings,180,3
513,Addebitato per add-on di servizio di streaming.,Entertainment / Services,10.61,0
514,Abbonamento annuale a servizio Plus per giocare online con PlayStation.,Entertainment / Services,24.95,2
515,Servizio di abbonamento mensile Spotify.,Entertainment / Services,10.69,2
516,Ho noleggiato un film su Prime Video.,Entertainment / Services,3.24,1
517,Servizio di streaming mensile Youtube TV.,Entertainment / Services,64.99,1
519,Trasferire denaro da risparmio a corrente.,Bank Transfers / Savings,100,3
520,Questo è un addebito per un film in streaming tramite Amazon Prime Video.,Entertainment / Services,1.99,1
521,Questo è per un abbonamento a una rivista di auto.,Entertainment / Services,2,2
522,Questo è per il mio abbonamento a Disney Plus.,Entertainment / Services,8.8,1
523,Noleggio film su Prime Video non compreso nell'abbonamento,Entertainment / Services,5.49,0
524,Un'uscita con gli amici al cinema per vedere l'ultimo film in uscita. ,Entertainment / Activities,15,1
525,Una serata in una sala da biliardo con i colleghi di lavoro. ,Entertainment / Activities,23,2
526,Pagamento per una lezione di cucina gourmet in un'accademia culinaria locale. ,Entertainment / Activities,50,1
527,Partecipazione a un tour guidato alla scoperta dei luoghi storici della città. ,Entertainment / Activities,25,2
528,Acquisto di biglietti per un concerto della tua band preferita. ,Entertainment / Activities,37,2
529,"Una giornata in un parco divertimenti con la famiglia, inclusi i pass per le attrazioni. ",Entertainment / Activities,68,2
530,Pagamento per un corso di pittura serale per sviluppare le tue abilità artistiche. ,Entertainment / Activities,34,2
531,Trasferimento di denaro per prenotare una sessione di volo in mongolfiera. ,Entertainment / Activities,89,1
532,Ingresso a un parco tematico avventuroso per un'esperienza emozionante. ,Entertainment / Activities,67,1
533,Partecipazione a un evento sportivo live con l'acquisto di biglietti per la tribuna VIP. ,Entertainment / Activities,122,1
534,Un giro di bevande in un bar locale,Food & Drink / Alcohol & Bars,22.5,0
535,Ho acquistato una bevanda alcolica da Walgreens durante il mio soggiorno a Las Vegas,Food & Drink / Alcohol & Bars,15,1
536,Una serata trascorsa in un bar del quartiere,Food & Drink / Alcohol & Bars,24,1
537,Acquisto di alcolici durante un volo con Allegiant Airlines,Food & Drink / Alcohol & Bars,12,0
538,Spesa per liquori per una festa con gli amici,Food & Drink / Alcohol & Bars,31.76,1
539,Un happy hour con amici in un cocktail bar,Food & Drink / Alcohol & Bars,17,1
540,Acquisto di una bottiglia di whisky in un negozio di liquori,Food & Drink / Alcohol & Bars,47,1
541,Degustazione di vini in un'enoteca locale,Food & Drink / Alcohol & Bars,35,1
542,Consumo di cocktail artigianali in un bar del centro,Food & Drink / Alcohol & Bars,32,1
543,birre artigianali in un pub tradizionale,Food & Drink / Alcohol & Bars,18,1
544,Pagamento elettronico delle tasse locali per la proprietà.,Government + Non-Profit / Taxes,560,3
545,Spesa per consulenza fiscale per ottimizzare gli adempimenti fiscali personali.,Government + Non-Profit / Taxes,70,3
546,Transazione online per il versamento delle tasse sulla vendita di proprietà.,Government + Non-Profit / Taxes,1221,3
547,Pagamento delle tasse trimestrali sul reddito aziendale.,Government + Non-Profit / Taxes,3457,3
548,Contributo al fondo di sviluppo locale attraverso il pagamento delle tasse comunali.,Government + Non-Profit / Taxes,265,3
549,Spesa per l'acquisto di pubblicazioni fiscali per rimanere informati sulle leggi tributarie.,Government + Non-Profit / Taxes,28,2
550,Addebito automatico per le tasse federali sul reddito personale.,Government + Non-Profit / Taxes,2354,3
551,Pagamento online delle tasse sulle plusvalenze da investimenti.,Government + Non-Profit / Taxes,1234,3
552,Bolletta elettronica per le tasse relative alle attività commerciali locali.,Government + Non-Profit / Taxes,645,3
553,Pagamento per l'installazione di nuovi pneumatici sulla mia auto.,Transportation / Automobile maintenance and fees,320,2
554,Acquisto di liquidi per il radiatore e l'olio motore per il mantenimento regolare del veicolo.,Transportation / Automobile maintenance and fees,75,3
555,Addebito per il servizio di pulizia e sostituzione dei filtri dell'aria dell'auto.,Transportation / Automobile maintenance and fees,40,2
556,Pagamento per il lavaggio e la cera all'autofficina di quartiere.,Transportation / Automobile maintenance and fees,35,2
557,"Spesa per la messa a punto del veicolo, incluso il cambio dell'olio, presso un'officina di fiducia.",Transportation / Automobile maintenance and fees,152,3
558,Addebito per il rinnovo annuale dell'assicurazione auto.,Transportation / Automobile maintenance and fees,264,3
559,Pagamento per la sostituzione delle pastiglie dei freni e la rettifica dei dischi.,Transportation / Automobile maintenance and fees,89,3
560,Pagamento per il servizio di allineamento e bilanciamento delle ruote.,Transportation / Automobile maintenance and fees,90,3
561,Spesa per la riparazione di un graffio sulla carrozzeria del veicolo.,Transportation / Automobile maintenance and fees,55,2
